Protein,ProteinDescription,ProteinGene,EV13_SAXN_12mz_10 Sum NormalizedArea,EV14_SAXN_12mz_17 Sum NormalizedArea,EV15_SAXN_12mz_31 Sum NormalizedArea,Total04_HydN_12mz_42 Sum NormalizedArea,Total05_HydN_12mz_38 Sum NormalizedArea,Total06_HydN_12mz_40 Sum NormalizedArea
sp|Q86TX2|ACOT1_HUMAN,Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,ACOT1,40522110.24,38972962.30,40421514.11,14247160.99,10400269.47,17595571.28
sp|O75381|PEX14_HUMAN,Peroxisomal membrane protein PEX14 OS=Homo sapiens OX=9606 GN=PEX14 PE=1 SV=1,PEX14,9604728.11,10347705.07,10465886.85,2610900.63,10388089.31,2439515.23
sp|Q06481|APLP2_HUMAN,Amyloid beta precursor like protein 2 OS=Homo sapiens OX=9606 GN=APLP2 PE=1 SV=2,APLP2,292249300.00,270933025.54,286456283.47,6959719.23,10380952.07,6503775.65
sp|P22695|QCR2_HUMAN,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=3",UQCRC2,302179371.52,289345724.55,283426859.92,12458094.68,10379210.60,12579028.67
sp|Q9HB71|CYBP_HUMAN,Calcyclin-binding protein OS=Homo sapiens OX=9606 GN=CACYBP PE=1 SV=2,CACYBP,56549312.05,59490454.14,56317455.30,4158274.71,10334981.57,4822976.60
sp|Q92604|LGAT1_HUMAN,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 OS=Homo sapiens OX=9606 GN=LPGAT1 PE=1 SV=1,LPGAT1,3608597.43,2992673.92,2798756.06,492770.57,10325608.58,338556.69
sp|Q8NBM4|UBAC2_HUMAN,Ubiquitin-associated domain-containing protein 2 OS=Homo sapiens OX=9606 GN=UBAC2 PE=1 SV=1,UBAC2,9741900.51,7417009.71,7620402.58,8960881.89,10311471.12,13013932.96
sp|O94874|UFL1_HUMAN,E3 UFM1-protein ligase 1 OS=Homo sapiens OX=9606 GN=UFL1 PE=1 SV=2,UFL1,129054456.55,83500192.42,92974406.25,9372070.22,10274368.91,13527197.80
sp|P51858|HDGF_HUMAN,Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1,HDGF,18819379.37,14266769.46,12857086.98,17237081.22,10271173.15,20297422.52
sp|P57723|PCBP4_HUMAN,Poly(rC)-binding protein 4 OS=Homo sapiens OX=9606 GN=PCBP4 PE=2 SV=1,PCBP4,117708565.14,109570243.29,112484960.71,7720168.65,10268306.84,9852244.75
sp|P23526|SAHH_HUMAN,Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,AHCY,129311401.34,123201246.25,128330361.51,11886675.40,10255857.13,10348320.95
sp|P42229|STA5A_HUMAN,Signal transducer and activator of transcription 5A OS=Homo sapiens OX=9606 GN=STAT5A PE=1 SV=1,STAT5A,219104403.24,209050172.96,202335575.36,16249981.47,10214772.97,49481399.40
sp|O15498|YKT6_HUMAN,Synaptobrevin homolog YKT6 OS=Homo sapiens OX=9606 GN=YKT6 PE=1 SV=1,YKT6,39240115.41,49716968.36,43117273.62,70779479.57,10198510.92,38802182.45
sp|P61421|VA0D1_HUMAN,V-type proton ATPase subunit d 1 OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1,ATP6V0D1,110832525.47,95463766.79,97077000.08,21331167.49,10197277.44,25574096.46
sp|P98077|SHC2_HUMAN,SHC-transforming protein 2 OS=Homo sapiens OX=9606 GN=SHC2 PE=1 SV=4,SHC2,3570175.77,3005333.08,2697379.25,9917586.00,10169424.35,11487039.18
sp|O14617|AP3D1_HUMAN,AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,AP3D1,88398266.68,79302085.18,76603661.26,6051183.44,10161181.47,8069415.10
sp|Q9H7D0|DOCK5_HUMAN,Dedicator of cytokinesis protein 5 OS=Homo sapiens OX=9606 GN=DOCK5 PE=1 SV=3,DOCK5,54222150.35,54892320.45,50698393.94,54290620.17,10156801.70,9933570.96
sp|Q8WWZ8|OIT3_HUMAN,Oncoprotein-induced transcript 3 protein OS=Homo sapiens OX=9606 GN=OIT3 PE=1 SV=2,OIT3,87687441.53,85650420.85,85040181.88,20787138.01,10134851.80,9742419.41
sp|P56202|CATW_HUMAN,Cathepsin W OS=Homo sapiens OX=9606 GN=CTSW PE=1 SV=2,CTSW,112851616.49,122106431.90,134069584.79,6852473.59,10124980.65,10588161.02
sp|Q9Y230|RUVB2_HUMAN,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,RUVBL2,84654807.04,78132942.14,77274116.37,19058835.76,10120470.18,20914780.18
sp|Q8IUI8|CRLF3_HUMAN,Cytokine receptor-like factor 3 OS=Homo sapiens OX=9606 GN=CRLF3 PE=1 SV=2,CRLF3,120084487.67,115150460.72,116156549.94,8612177.37,10103738.04,8879605.91
sp|P17050|NAGAB_HUMAN,Alpha-N-acetylgalactosaminidase OS=Homo sapiens OX=9606 GN=NAGA PE=1 SV=2,NAGA,35209364.94,27959098.29,29172987.29,4215585.63,10092562.55,9552697.89
sp|P57103|NAC3_HUMAN,Sodium/calcium exchanger 3 OS=Homo sapiens OX=9606 GN=SLC8A3 PE=1 SV=2,SLC8A3,3073821.11,2920599.48,2951002.83,82281.57,10091231.70,355464.24
sp|Q9Y265|RUVB1_HUMAN,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,RUVBL1,118307011.96,102376378.67,103809658.58,8360947.29,10077851.96,11350071.62
sp|Q9UNK0|STX8_HUMAN,Syntaxin-8 OS=Homo sapiens OX=9606 GN=STX8 PE=1 SV=2,STX8,8686789.60,7155634.50,7026737.12,10428392.68,10061204.03,7952106.94
sp|P36405|ARL3_HUMAN,ADP-ribosylation factor-like protein 3 OS=Homo sapiens OX=9606 GN=ARL3 PE=1 SV=2,ARL3,9408560.55,11797658.21,12650900.06,11736814.19,10056686.65,11872797.84
sp|Q5TCZ1|SPD2A_HUMAN,SH3 and PX domain-containing protein 2A OS=Homo sapiens OX=9606 GN=SH3PXD2A PE=1 SV=1,SH3PXD2A,36351507.41,36115686.28,35376677.86,8946024.97,10025133.28,9799636.07
sp|Q8WUA8|TSK_HUMAN,Tsukushi OS=Homo sapiens OX=9606 GN=TSKU PE=1 SV=3,TSKU,3993145.71,6209216.84,6991196.87,5502658.13,10004827.22,9075660.19
sp|P48736|PK3CG_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform OS=Homo sapiens OX=9606 GN=PIK3CG PE=1 SV=3",PIK3CG,65695442.29,59373861.45,45614294.49,23648870.27,9963916.83,15146553.33
sp|Q15046|SYK_HUMAN,Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3,KARS1,40397990.31,38533322.96,35497182.04,9011759.36,9958627.74,50041362.79
sp|O14920|IKKB_HUMAN,Inhibitor of nuclear factor kappa-B kinase subunit beta OS=Homo sapiens OX=9606 GN=IKBKB PE=1 SV=1,IKBKB,24622800.04,25735120.09,24880314.64,7444428.13,9938378.86,98444696.24
sp|Q9Y2G3|AT11B_HUMAN,Phospholipid-transporting ATPase IF OS=Homo sapiens OX=9606 GN=ATP11B PE=1 SV=2,ATP11B,28349974.54,23184508.02,24397841.50,12998040.60,9917351.75,8445908.52
sp|P56192|SYMC_HUMAN,"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2",MARS1,48057327.73,47484778.13,45677727.51,9456429.10,9910569.23,9927287.03
sp|O00170|AIP_HUMAN,AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=3,AIP,21377166.23,20388439.46,16035646.65,11011386.01,9886391.20,9645292.04
sp|P11908|PRPS2_HUMAN,Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens OX=9606 GN=PRPS2 PE=1 SV=2,PRPS2,90739085.91,73605883.49,97026689.84,7872794.65,9863584.80,31874949.79
sp|Q15843|NEDD8_HUMAN,NEDD8 OS=Homo sapiens OX=9606 GN=NEDD8 PE=1 SV=1,NEDD8,15256099.41,19976517.36,14758447.70,505911.16,9847623.25,1723952.74
sp|P48728|GCST_HUMAN,"Aminomethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=AMT PE=1 SV=1",AMT,4640137.55,6775327.30,5648488.21,14669089.29,9845442.86,746870.43
sp|O00754|MA2B1_HUMAN,Lysosomal alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN2B1 PE=1 SV=3,MAN2B1,12592766.11,17243971.20,15003001.78,13403488.51,9843232.68,12833370.09
sp|Q9NZM3|ITSN2_HUMAN,Intersectin-2 OS=Homo sapiens OX=9606 GN=ITSN2 PE=1 SV=3,ITSN2,22849983.47,25767022.51,21999664.21,12259243.47,9817797.26,20670488.29
sp|P46940|IQGA1_HUMAN,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,IQGAP1,113936781.32,101575531.52,102674505.22,6001855.36,9802811.46,6616521.69
sp|O43242|PSMD3_HUMAN,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,PSMD3,74268002.50,76431209.15,85600936.16,10443347.55,9798789.88,13639234.26
sp|O75410|TACC1_HUMAN,Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens OX=9606 GN=TACC1 PE=1 SV=2,TACC1,36158989.35,35786629.11,37429326.20,20590398.89,9796853.13,15534540.63
sp|Q99435|NELL2_HUMAN,Protein kinase C-binding protein NELL2 OS=Homo sapiens OX=9606 GN=NELL2 PE=1 SV=1,NELL2,4282582.61,3791446.69,4369913.18,2046379.81,9788702.90,12191168.25
sp|Q14515|SPRL1_HUMAN,SPARC-like protein 1 OS=Homo sapiens OX=9606 GN=SPARCL1 PE=1 SV=2,SPARCL1,284294545.19,272972530.20,291868116.99,9426235.00,9768482.76,10828192.17
sp|P53582|MAP11_HUMAN,Methionine aminopeptidase 1 OS=Homo sapiens OX=9606 GN=METAP1 PE=1 SV=2,METAP1,42296331.93,34887689.23,32385812.29,6761087.11,9760917.28,6911336.44
sp|O76003|GLRX3_HUMAN,Glutaredoxin-3 OS=Homo sapiens OX=9606 GN=GLRX3 PE=1 SV=2,GLRX3,58176840.83,59830684.40,64073074.12,8465202.99,9760400.09,2917139.47
sp|P45974|UBP5_HUMAN,Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2,USP5,187666926.80,181917481.61,191598128.34,8188636.87,9758599.74,8064152.17
sp|Q9NW15|ANO10_HUMAN,Anoctamin-10 OS=Homo sapiens OX=9606 GN=ANO10 PE=1 SV=2,ANO10,64412847.90,57543170.02,54323569.40,21386269.13,9746591.34,16924600.47
sp|P06703|S10A6_HUMAN,Protein S100-A6 OS=Homo sapiens OX=9606 GN=S100A6 PE=1 SV=1,S100A6,98335884.04,101548132.70,106372891.67,9861673.93,9732769.05,10658182.65
sp|Q8WU76|SCFD2_HUMAN,Sec1 family domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SCFD2 PE=1 SV=2,SCFD2,19864321.86,26655985.53,25557276.86,10584757.90,9697613.75,11172598.17
sp|Q99536|VAT1_HUMAN,Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=2,VAT1,111341176.98,244463070.67,226638620.66,12284949.19,9696885.27,12824365.45
sp|Q9NZB2|F120A_HUMAN,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2,FAM120A,48266448.25,45289830.94,46204254.86,21704943.84,9686752.46,49295880.08
sp|Q02790|FKBP4_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3,FKBP4,13492642.60,11098234.99,10452925.01,5093010.79,9669743.12,9300021.83
sp|Q9NPF2|CHSTB_HUMAN,Carbohydrate sulfotransferase 11 OS=Homo sapiens OX=9606 GN=CHST11 PE=1 SV=1,CHST11,11388652.99,10888032.48,11255590.11,14026339.11,9665443.00,17228737.39
sp|Q9BZH6|WDR11_HUMAN,WD repeat-containing protein 11 OS=Homo sapiens OX=9606 GN=WDR11 PE=1 SV=1,WDR11,59904019.37,55482287.88,51765727.02,9855877.55,9658587.47,10420796.15
sp|P0DJI9|SAA2_HUMAN,Serum amyloid A-2 protein OS=Homo sapiens OX=9606 GN=SAA2 PE=1 SV=1,SAA2,2283440.84,2936548.39,2331445.04,11031997.02,9647602.10,11199295.97
sp|O75558|STX11_HUMAN,Syntaxin-11 OS=Homo sapiens OX=9606 GN=STX11 PE=1 SV=1,STX11,620715164.07,586881742.10,579516117.70,10996948.84,9642512.23,9697799.35
sp|Q6DN14|MCTP1_HUMAN,Multiple C2 and transmembrane domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MCTP1 PE=2 SV=2,MCTP1,5640783.52,6750611.46,4286268.28,2869570.46,9638238.97,3384699.42
sp|Q9BUB5|MKNK1_HUMAN,MAP kinase-interacting serine/threonine-protein kinase 1 OS=Homo sapiens OX=9606 GN=MKNK1 PE=1 SV=1,MKNK1,1316174.68,1591499.28,1338319.09,8561021.52,9631357.16,7903465.38
sp|O43765|SGTA_HUMAN,Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Homo sapiens OX=9606 GN=SGTA PE=1 SV=1,SGTA,17545798.01,16146913.33,17142410.44,7270265.42,9620749.06,7217454.51
sp|P09172|DOPO_HUMAN,Dopamine beta-hydroxylase OS=Homo sapiens OX=9606 GN=DBH PE=1 SV=3,DBH,965722.42,1128920.18,1204481.54,9264576.61,9614522.21,9377850.27
sp|P49591|SYSC_HUMAN,"Serine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=SARS1 PE=1 SV=3",SARS1,122687896.65,101181570.22,96180361.38,83258743.82,9614133.31,10696095.55
sp|O95822|DCMC_HUMAN,"Malonyl-CoA decarboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=MLYCD PE=1 SV=3",MLYCD,11984927.47,7042544.01,5997648.75,6118137.73,9580785.64,2328762.13
sp|P78406|RAE1L_HUMAN,mRNA export factor RAE1 OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1,RAE1,9510155.63,11045827.55,9751064.55,7242729.04,9559147.20,9089319.57
sp|Q8WZ42|TITIN_HUMAN,Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4,TTN,3887379.85,4225702.94,4498524.45,4123183.05,9548257.18,5670686.94
sp|Q9Y478|AAKB1_HUMAN,5'-AMP-activated protein kinase subunit beta-1 OS=Homo sapiens OX=9606 GN=PRKAB1 PE=1 SV=4,PRKAB1,14593218.06,18151038.69,15951105.89,4310881.26,9540281.60,8330319.76
sp|Q9UQ35|SRRM2_HUMAN,Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2,SRRM2,1067218.97,1080279.65,1442537.71,10012292.75,9519676.65,10718348.09
sp|Q8IVB4|SL9A9_HUMAN,Sodium/hydrogen exchanger 9 OS=Homo sapiens OX=9606 GN=SLC9A9 PE=1 SV=1,SLC9A9,54880961.59,57980781.36,62055563.33,5375771.85,9511911.94,5966387.73
sp|O94766|B3GA3_HUMAN,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 OS=Homo sapiens OX=9606 GN=B3GAT3 PE=1 SV=2,B3GAT3,5864042.46,5714426.53,4357151.05,9223532.78,9504082.32,8432484.71
sp|Q96JI7|SPTCS_HUMAN,Spatacsin OS=Homo sapiens OX=9606 GN=SPG11 PE=1 SV=3,SPG11,2091620.17,1097737.33,1125181.73,9704212.89,9499550.17,9122299.61
sp|Q6IA69|NADE_HUMAN,Glutamine-dependent NAD(+) synthetase OS=Homo sapiens OX=9606 GN=NADSYN1 PE=1 SV=3,NADSYN1,31326254.08,30014108.39,27230309.08,51400564.68,9488945.19,47314792.45
sp|O95816|BAG2_HUMAN,BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,BAG2,6680015.73,6632591.02,7362763.96,3905784.74,9463766.88,7454424.85
sp|P43686|PRS6B_HUMAN,26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,PSMC4,94550486.03,88287338.41,92670757.05,9196586.29,9460872.30,9814161.66
sp|Q96RQ3|MCCA_HUMAN,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=3",MCCC1,11119874.80,10718585.79,10634036.23,4560844.91,9460189.92,7904942.94
sp|O95292|VAPB_HUMAN,Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens OX=9606 GN=VAPB PE=1 SV=3,VAPB,122273059.88,109004596.94,104349960.38,5074619.63,9454799.26,9178767.58
sp|O43776|SYNC_HUMAN,"Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1",NARS1,65951486.10,60380273.61,56124822.89,3919301.16,9447476.68,3390775.70
sp|P62195|PRS8_HUMAN,26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1,PSMC5,166994269.39,158315338.72,154426097.67,26433168.49,9439557.07,25217479.66
sp|P42574|CASP3_HUMAN,Caspase-3 OS=Homo sapiens OX=9606 GN=CASP3 PE=1 SV=2,CASP3,148351331.77,122463122.22,122005274.77,6778898.78,9437722.13,9643023.83
sp|O95260|ATE1_HUMAN,Arginyl-tRNA--protein transferase 1 OS=Homo sapiens OX=9606 GN=ATE1 PE=1 SV=2,ATE1,28779946.48,26836907.93,23702300.83,9551223.66,9437070.03,13437004.04
sp|Q9UFN0|NPS3A_HUMAN,Protein NipSnap homolog 3A OS=Homo sapiens OX=9606 GN=NIPSNAP3A PE=1 SV=2,NIPSNAP3A,235421729.25,208708349.23,216045702.64,9358212.96,9418733.65,10085445.92
sp|Q13643|FHL3_HUMAN,Four and a half LIM domains protein 3 OS=Homo sapiens OX=9606 GN=FHL3 PE=1 SV=4,FHL3,619357.77,3565632.56,4608043.86,5767862.52,9412696.97,7823434.27
sp|Q9BQA9|CYBC1_HUMAN,Cytochrome b-245 chaperone 1 OS=Homo sapiens OX=9606 GN=CYBC1 PE=1 SV=1,CYBC1,32066237.92,29277144.05,31223787.16,11010356.12,9412103.16,9134101.86
sp|P24752|THIL_HUMAN,"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1",ACAT1,60942947.10,56315196.04,54513581.54,8644754.10,9411655.62,8511136.61
sp|Q6NVY1|HIBCH_HUMAN,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=2",HIBCH,100710821.25,93759679.71,89367198.58,77248595.46,9406489.64,28720982.50
sp|P49354|FNTA_HUMAN,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Homo sapiens OX=9606 GN=FNTA PE=1 SV=1,FNTA,13677475.65,15085476.31,15561940.40,2272866.21,9402341.40,2567185.90
sp|Q02252|MMSA_HUMAN,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens OX=9606 GN=ALDH6A1 PE=1 SV=2",ALDH6A1,62409479.33,59869719.36,56154820.97,4930294.50,9399388.56,7342114.09
sp|Q86TP1|PRUN1_HUMAN,Exopolyphosphatase PRUNE1 OS=Homo sapiens OX=9606 GN=PRUNE1 PE=1 SV=2,PRUNE1,124263098.76,111360092.07,112671616.60,9987542.94,9398001.20,8737989.02
sp|O15194|CTDSL_HUMAN,CTD small phosphatase-like protein OS=Homo sapiens OX=9606 GN=CTDSPL PE=1 SV=2,CTDSPL,45872913.35,41980936.28,46122287.04,7091717.52,9396622.24,10812352.10
sp|P05109|S10A8_HUMAN,Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1,S100A8,7721408.54,4017253.15,4641497.43,8697666.53,9396597.04,8775819.43
sp|Q9UM47|NOTC3_HUMAN,Neurogenic locus notch homolog protein 3 OS=Homo sapiens OX=9606 GN=NOTCH3 PE=1 SV=2,NOTCH3,9781053.99,7825524.44,7114145.36,11160882.68,9364436.86,11554298.93
sp|P35237|SPB6_HUMAN,Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3,SERPINB6,207849577.73,203391150.64,197940415.12,8556695.27,9361642.14,10443566.49
sp|P42356|PI4KA_HUMAN,Phosphatidylinositol 4-kinase alpha OS=Homo sapiens OX=9606 GN=PI4KA PE=1 SV=4,PI4KA,36179000.72,34878192.08,39990079.44,8171118.23,9354389.75,6939366.11
sp|Q9BXK5|B2L13_HUMAN,Bcl-2-like protein 13 OS=Homo sapiens OX=9606 GN=BCL2L13 PE=1 SV=1,BCL2L13,16820011.13,12784999.87,19572931.79,4527151.27,9351423.72,7059385.52
sp|Q12931|TRAP1_HUMAN,"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3",TRAP1,80080297.94,91316973.10,88242205.63,71498437.06,9314239.69,184683036.90
sp|Q99733|NP1L4_HUMAN,Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1,NAP1L4,239127604.78,237420559.90,252099459.04,10761024.20,9296692.77,7669762.79
sp|Q9H0X4|F234A_HUMAN,Protein FAM234A OS=Homo sapiens OX=9606 GN=FAM234A PE=1 SV=1,FAM234A,24388880.45,27092228.94,27050558.51,1626709.64,9290233.72,781966.12
sp|Q9Y2Z0|SGT1_HUMAN,Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3,SUGT1,31190693.78,28499290.55,27945127.95,11693111.43,9279792.64,12968705.11
sp|P39060|COIA1_HUMAN,Collagen alpha-1(XVIII) chain OS=Homo sapiens OX=9606 GN=COL18A1 PE=1 SV=5,COL18A1,22635542.26,23198100.69,28550859.83,12386174.49,9271588.81,10487418.15
sp|O00303|EIF3F_HUMAN,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,EIF3F,67556294.72,76742707.15,69282917.69,11590391.17,9202953.35,3745003.05
sp|P23258|TBG1_HUMAN,Tubulin gamma-1 chain OS=Homo sapiens OX=9606 GN=TUBG1 PE=1 SV=2,TUBG1,43210513.02,39255306.80,37759197.59,3503443.60,9185169.46,1867455.79
sp|Q4G176|ACSF3_HUMAN,"Malonate--CoA ligase ACSF3, mitochondrial OS=Homo sapiens OX=9606 GN=ACSF3 PE=1 SV=3",ACSF3,10801428.08,10624639.87,9801049.88,11084181.02,9177116.47,8393268.71
sp|Q8NDB2|BANK1_HUMAN,B-cell scaffold protein with ankyrin repeats OS=Homo sapiens OX=9606 GN=BANK1 PE=1 SV=3,BANK1,242310340.13,156773499.52,98134469.56,10903495.86,9172618.68,10043065.94
sp|O43312|MTSS1_HUMAN,Protein MTSS 1 OS=Homo sapiens OX=9606 GN=MTSS1 PE=1 SV=2,MTSS1,87202241.19,82738197.62,81329135.35,15901473.41,9169464.36,22015837.73
sp|P21964|COMT_HUMAN,Catechol O-methyltransferase OS=Homo sapiens OX=9606 GN=COMT PE=1 SV=2,COMT,159723869.09,149712067.87,141446676.43,10041304.40,9149991.12,9170367.47
sp|Q9H269|VPS16_HUMAN,Vacuolar protein sorting-associated protein 16 homolog OS=Homo sapiens OX=9606 GN=VPS16 PE=1 SV=2,VPS16,76488738.27,40539075.40,87404654.28,12017605.07,9133711.72,6967317.67
sp|P36542|ATPG_HUMAN,"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",ATP5F1C,455856854.79,399926917.10,393860046.71,10732908.67,9130416.08,11495205.40
sp|Q9BV40|VAMP8_HUMAN,Vesicle-associated membrane protein 8 OS=Homo sapiens OX=9606 GN=VAMP8 PE=1 SV=1,VAMP8,113861674.03,104482617.76,106542429.39,17626712.02,9124434.25,18196738.12
sp|P35236|PTN7_HUMAN,Tyrosine-protein phosphatase non-receptor type 7 OS=Homo sapiens OX=9606 GN=PTPN7 PE=1 SV=3,PTPN7,31358638.91,21362539.34,22741601.36,6515746.35,9116457.94,4867622.56
sp|Q96Q11|TRNT1_HUMAN,"CCA tRNA nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=TRNT1 PE=1 SV=2",TRNT1,9146672.76,7930567.62,9290649.66,10564153.65,9115631.91,9779275.19
sp|Q6P1N0|C2D1A_HUMAN,Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1,CC2D1A,18997767.58,9949829.74,11886914.36,7273902.20,9112664.66,4902795.09
sp|Q02818|NUCB1_HUMAN,Nucleobindin-1 OS=Homo sapiens OX=9606 GN=NUCB1 PE=1 SV=4,NUCB1,55075658.58,67583710.22,56554238.90,8578048.21,9106721.13,12814891.36
sp|P06132|DCUP_HUMAN,Uroporphyrinogen decarboxylase OS=Homo sapiens OX=9606 GN=UROD PE=1 SV=2,UROD,191823564.27,200772757.71,179271941.84,10318451.95,9089081.85,10861326.47
sp|Q9H8L6|MMRN2_HUMAN,Multimerin-2 OS=Homo sapiens OX=9606 GN=MMRN2 PE=1 SV=2,MMRN2,1890741.74,2043759.84,2425066.67,9395813.47,9081410.54,10468818.17
sp|P00387|NB5R3_HUMAN,NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=3,CYB5R3,472121812.07,396856634.03,375658229.87,14608408.19,9052886.29,18636668.81
sp|P05121|PAI1_HUMAN,Plasminogen activator inhibitor 1 OS=Homo sapiens OX=9606 GN=SERPINE1 PE=1 SV=1,SERPINE1,303744924.17,279645970.24,275342141.46,8606965.44,9048771.29,7964374.46
sp|Q9Y5K6|CD2AP_HUMAN,CD2-associated protein OS=Homo sapiens OX=9606 GN=CD2AP PE=1 SV=1,CD2AP,45126118.79,42216002.78,44140052.17,8923775.16,9038860.76,9236723.25
sp|Q9HCU5|PREB_HUMAN,Prolactin regulatory element-binding protein OS=Homo sapiens OX=9606 GN=PREB PE=1 SV=2,PREB,53525487.87,52827642.03,50060243.28,6156922.76,9032006.46,8705299.79
sp|Q9Y240|CLC11_HUMAN,C-type lectin domain family 11 member A OS=Homo sapiens OX=9606 GN=CLEC11A PE=1 SV=1,CLEC11A,98423180.97,90875321.28,96352282.88,4627393.51,9028215.48,6010290.75
sp|Q13177|PAK2_HUMAN,Serine/threonine-protein kinase PAK 2 OS=Homo sapiens OX=9606 GN=PAK2 PE=1 SV=3,PAK2,136107939.15,115673437.67,119848954.04,9894050.36,9017650.83,10414612.53
sp|Q8IWB7|WDFY1_HUMAN,WD repeat and FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=WDFY1 PE=1 SV=1,WDFY1,69383027.91,69107475.43,62913573.39,7787771.05,9007012.88,13197564.67
sp|P49841|GSK3B_HUMAN,Glycogen synthase kinase-3 beta OS=Homo sapiens OX=9606 GN=GSK3B PE=1 SV=2,GSK3B,32553091.86,25418687.05,23926342.35,6762071.65,9003560.54,15472838.38
sp|Q9H910|JUPI2_HUMAN,Jupiter microtubule associated homolog 2 OS=Homo sapiens OX=9606 GN=JPT2 PE=1 SV=1,JPT2,10945712.99,11321491.24,12647218.37,1292224.79,8999336.06,1479968.19
