From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
PITPNM1,O00562,reviewed,PITM1_HUMAN,"Membrane-associated phosphatidylinositol transfer protein 1 (Drosophila retinal degeneration B homolog) (Phosphatidylinositol transfer protein, membrane-associated 1) (PITPnm 1) (Pyk2 N-terminal domain-interacting receptor 2) (NIR-2)",PITPNM1 DRES9 NIR2 PITPNM,Homo sapiens (Human),1244
PKD2,Q13563,reviewed,PKD2_HUMAN,Polycystin-2 (PC2) (Autosomal dominant polycystic kidney disease type II protein) (Polycystic kidney disease 2 protein) (Polycystwin) (R48321) (Transient receptor potential cation channel subfamily P member 2),PKD2 TRPP2,Homo sapiens (Human),968
PKD2,Q9BZL6,reviewed,KPCD2_HUMAN,Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2),PRKD2 PKD2 HSPC187,Homo sapiens (Human),878
PKHD1L1,Q86WI1,reviewed,PKHL1_HUMAN,Fibrocystin-L (Polycystic kidney and hepatic disease 1-like protein 1) (PKHD1-like protein 1),PKHD1L1,Homo sapiens (Human),4243
PKP2,Q99959,reviewed,PKP2_HUMAN,Plakophilin-2,PKP2,Homo sapiens (Human),881
PLCD3,Q8N3E9,reviewed,PLCD3_HUMAN,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-3) (Phospholipase C-delta-3) (PLC-delta-3)",PLCD3 KIAA1964,Homo sapiens (Human),789
PLEKHA4,Q9H4M7,reviewed,PKHA4_HUMAN,Pleckstrin homology domain-containing family A member 4 (PH domain-containing family A member 4) (Phosphoinositol 3-phosphate-binding protein 1) (PEPP-1),PLEKHA4 PEPP1,Homo sapiens (Human),779
PLIN3,O60664,reviewed,PLIN3_HUMAN,Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17),PLIN3 M6PRBP1 TIP47,Homo sapiens (Human),434
PLXNB3,Q9ULL4,reviewed,PLXB3_HUMAN,Plexin-B3,PLXNB3 KIAA1206 PLXN6,Homo sapiens (Human),1909
PLXND1,Q9Y4D7,reviewed,PLXD1_HUMAN,Plexin-D1,PLXND1 KIAA0620,Homo sapiens (Human),1925
PMFBP1,Q8TBY8,reviewed,PMFBP_HUMAN,Polyamine-modulated factor 1-binding protein 1 (PMF-1-binding protein),PMFBP1,Homo sapiens (Human),1007
POLR1C,O15160,reviewed,RPAC1_HUMAN,DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40),POLR1C POLR1E,Homo sapiens (Human),346
POLR1D,P0DPB5,reviewed,RPC22_HUMAN,"Protein POLR1D, isoform 2",POLR1D,Homo sapiens (Human),122
POLR1D,P0DPB6,reviewed,RPAC2_HUMAN,DNA-directed RNA polymerases I and III subunit RPAC2 (RNA polymerases I and III subunit AC2) (AC19) (DNA-directed RNA polymerase I subunit D) (RNA polymerase I 16 kDa subunit) (RPA16) (RPC16) (hRPA19),POLR1D,Homo sapiens (Human),133
POLR2H,P52434,reviewed,RPAB3_HUMAN,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (DNA-directed RNA polymerase II subunit H) (DNA-directed RNA polymerases I, II, and III 17.1 kDa polypeptide) (RPB17) (RPB8 homolog) (hRPB8)",POLR2H,Homo sapiens (Human),150
POTEB2,H3BUK9,reviewed,POTB2_HUMAN,POTE ankyrin domain family member B2,POTEB2,Homo sapiens (Human),544
POTEB3,A0JP26,reviewed,POTB3_HUMAN,POTE ankyrin domain family member B3,POTEB3,Homo sapiens (Human),581
POTEKP,Q9BYX7,reviewed,ACTBM_HUMAN,Putative beta-actin-like protein 3 (Kappa-actin) (POTE ankyrin domain family member K),POTEKP ACTBL3 FKSG30,Homo sapiens (Human),375
PPA2,Q9H2U2,reviewed,IPYR2_HUMAN,"Inorganic pyrophosphatase 2, mitochondrial (EC 3.6.1.1) (Pyrophosphatase SID6-306) (Pyrophosphate phospho-hydrolase 2) (PPase 2)",PPA2 HSPC124,Homo sapiens (Human),334
PPAP2B,O14495,reviewed,PLPP3_HUMAN,Phospholipid phosphatase 3 (EC 3.1.3.-) (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 3) (PAP2-beta) (Phosphatidate phosphohydrolase type 2b) (Phosphatidic acid phosphatase 2b) (PAP-2b) (PAP2b) (Vascular endothelial growth factor and type I collagen-inducible protein) (VCIP),PLPP3 LPP3 PPAP2B,Homo sapiens (Human),311
PPAP2C,O43688,reviewed,PLPP2_HUMAN,Phospholipid phosphatase 2 (EC 3.1.3.-) (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 2) (PAP2-gamma) (PAP2-G) (Phosphatidate phosphohydrolase type 2c) (Phosphatidic acid phosphatase 2c) (PAP-2c) (PAP2c),PLPP2 LPP2 PPAP2C,Homo sapiens (Human),288
PPBP,P02775,reviewed,CXCL7_HUMAN,Platelet basic protein (PBP) (C-X-C motif chemokine 7) (Leukocyte-derived growth factor) (LDGF) (Macrophage-derived growth factor) (MDGF) (Small-inducible cytokine B7) [Cleaved into: Connective tissue-activating peptide III (CTAP-III) (LA-PF4) (Low-affinity platelet factor IV); TC-2; Connective tissue-activating peptide III(1-81) (CTAP-III(1-81)); Beta-thromboglobulin (Beta-TG); Neutrophil-activating peptide 2(74) (NAP-2(74)); Neutrophil-activating peptide 2(73) (NAP-2(73)); Neutrophil-activating peptide 2 (NAP-2); TC-1; Neutrophil-activating peptide 2(1-66) (NAP-2(1-66)); Neutrophil-activating peptide 2(1-63) (NAP-2(1-63))],PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1,Homo sapiens (Human),128
PPFIA3,O75145,reviewed,LIPA3_HUMAN,Liprin-alpha-3 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-3) (PTPRF-interacting protein alpha-3),PPFIA3 KIAA0654,Homo sapiens (Human),1194
PPID,Q08752,reviewed,PPID_HUMAN,Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Cyclophilin-related protein) (Rotamase D),PPID CYP40 CYPD,Homo sapiens (Human),370
PPIL1,Q9Y3C6,reviewed,PPIL1_HUMAN,Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase) (EC 5.2.1.8) (Rotamase PPIL1),PPIL1 CYPL1 CGI-124 UNQ2425/PRO4984,Homo sapiens (Human),166
PPME1,Q9Y570,reviewed,PPME1_HUMAN,Protein phosphatase methylesterase 1 (PME-1) (EC 3.1.1.89),PPME1 PME1 PP2593 PRO0750,Homo sapiens (Human),386
PPP1R21,Q6ZMI0,reviewed,PPR21_HUMAN,Protein phosphatase 1 regulatory subunit 21 (Coiled-coil domain-containing protein 128) (Ferry endosomal RAB5 effector complex subunit 2) (Fy-2) (KLRAQ motif-containing protein 1),PPP1R21 CCDC128 FERRY2 KLRAQ1,Homo sapiens (Human),780
PPP2R5C,Q13362,reviewed,2A5G_HUMAN,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-gamma) (PP2A B subunit isoform PR61-gamma) (PP2A B subunit isoform R5-gamma) (Renal carcinoma antigen NY-REN-29),PPP2R5C KIAA0044,Homo sapiens (Human),524
PRCP,P42785,reviewed,PCP_HUMAN,Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Angiotensinase C) (Lysosomal carboxypeptidase C) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP),PRCP PCP,Homo sapiens (Human),496
PRKCI,P41743,reviewed,KPCI_HUMAN,Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota),PRKCI DXS1179E,Homo sapiens (Human),596
PRKCQ,Q04759,reviewed,KPCT_HUMAN,Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta),PRKCQ PRKCT,Homo sapiens (Human),706
PRPF40A,O75400,reviewed,PR40A_HUMAN,Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6),PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225,Homo sapiens (Human),957
PRPS2,P11908,reviewed,PRPS2_HUMAN,Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase II) (PRS-II),PRPS2,Homo sapiens (Human),318
PRR14L,Q5THK1,reviewed,PR14L_HUMAN,Protein PRR14L (Proline rich 14-like protein),PRR14L C22orf30,Homo sapiens (Human),2151
PRRG1,O14668,reviewed,TMG1_HUMAN,Transmembrane gamma-carboxyglutamic acid protein 1 (Proline-rich gamma-carboxyglutamic acid protein 1) (Proline-rich Gla protein 1),PRRG1 PRGP1 TMG1,Homo sapiens (Human),218
PSMB10,P40306,reviewed,PSB10_HUMAN,Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i),PSMB10 LMP10 MECL1,Homo sapiens (Human),273
PSMG2,Q969U7,reviewed,PSMG2_HUMAN,Proteasome assembly chaperone 2 (PAC-2) (Hepatocellular carcinoma-susceptibility protein 3) (Tumor necrosis factor superfamily member 5-induced protein 1),PSMG2 HCCA3 PAC2 TNFSF5IP1,Homo sapiens (Human),264
PSTPIP2,Q9H939,reviewed,PPIP2_HUMAN,Proline-serine-threonine phosphatase-interacting protein 2 (PEST phosphatase-interacting protein 2),PSTPIP2,Homo sapiens (Human),334
PTGS1,P23219,reviewed,PGH1_HUMAN,Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1),PTGS1 COX1,Homo sapiens (Human),599
PTPN2,P17706,reviewed,PTN2_HUMAN,Tyrosine-protein phosphatase non-receptor type 2 (EC 3.1.3.48) (T-cell protein-tyrosine phosphatase) (TCPTP),PTPN2 PTPT,Homo sapiens (Human),415
PTPRB,P23467,reviewed,PTPRB_HUMAN,Receptor-type tyrosine-protein phosphatase beta (Protein-tyrosine phosphatase beta) (R-PTP-beta) (EC 3.1.3.48) (Vascular endothelial protein tyrosine phosphatase) (VE-PTP),PTPRB PTPB,Homo sapiens (Human),1997
PTRH2,Q9Y3E5,reviewed,PTH2_HUMAN,"Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29) (Bcl-2 inhibitor of transcription 1)",PTRH2 BIT1 PTH2 CGI-147,Homo sapiens (Human),179
QPRT,Q15274,reviewed,NADC_HUMAN,Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase) (QPRTase),QPRT,Homo sapiens (Human),297
RAB11FIP1,Q6WKZ4,reviewed,RFIP1_HUMAN,Rab11 family-interacting protein 1 (Rab11-FIP1) (Rab-coupling protein),RAB11FIP1 RCP,Homo sapiens (Human),1283
RAB20,Q9NX57,reviewed,RAB20_HUMAN,Ras-related protein Rab-20,RAB20,Homo sapiens (Human),234
RAB33A,Q14088,reviewed,RB33A_HUMAN,Ras-related protein Rab-33A (Small GTP-binding protein S10),RAB33A RABS10,Homo sapiens (Human),237
RAP1BL,A6NIZ1,reviewed,RP1BL_HUMAN,Ras-related protein Rap-1b-like protein (EC 3.6.5.2),RAP1BL,Homo sapiens (Human),184
RAP1GAP2,Q684P5,reviewed,RPGP2_HUMAN,Rap1 GTPase-activating protein 2 (Rap1GAP2) (GTPase-activating Rap/Ran-GAP domain-like protein 4),RAP1GAP2 GARNL4 KIAA1039 RAP1GA2,Homo sapiens (Human),730
RASGRP2,Q7LDG7,reviewed,GRP2_HUMAN,RAS guanyl-releasing protein 2 (Calcium and DAG-regulated guanine nucleotide exchange factor I) (CalDAG-GEFI) (Cdc25-like protein) (hCDC25L) (F25B3.3 kinase-like protein),RASGRP2 CDC25L MCG7,Homo sapiens (Human),609
RBM19,Q9Y4C8,reviewed,RBM19_HUMAN,Probable RNA-binding protein 19 (RNA-binding motif protein 19),RBM19 KIAA0682,Homo sapiens (Human),960
RBM28,Q9NW13,reviewed,RBM28_HUMAN,RNA-binding protein 28 (RNA-binding motif protein 28),RBM28,Homo sapiens (Human),759
RBM4,Q9BWF3,reviewed,RBM4_HUMAN,RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a),RBM4 RBM4A,Homo sapiens (Human),364
RBM6,P78332,reviewed,RBM6_HUMAN,RNA-binding protein 6 (Lung cancer antigen NY-LU-12) (Protein G16) (RNA-binding motif protein 6) (RNA-binding protein DEF-3),RBM6 DEF3,Homo sapiens (Human),1123
RC3H1,Q5TC82,reviewed,RC3H1_HUMAN,Roquin-1 (Roquin) (EC 2.3.2.27) (RING finger and C3H zinc finger protein 1) (RING finger and CCCH-type zinc finger domain-containing protein 1) (RING finger protein 198),RC3H1 KIAA2025 RNF198,Homo sapiens (Human),1133
RCN2,Q14257,reviewed,RCN2_HUMAN,Reticulocalbin-2 (Calcium-binding protein ERC-55) (E6-binding protein) (E6BP),RCN2 ERC55,Homo sapiens (Human),317
RELN,P78509,reviewed,RELN_HUMAN,Reelin (EC 3.4.21.-),RELN,Homo sapiens (Human),3460
RFC3,P40938,reviewed,RFC3_HUMAN,Replication factor C subunit 3 (Activator 1 38 kDa subunit) (A1 38 kDa subunit) (Activator 1 subunit 3) (Replication factor C 38 kDa subunit) (RF-C 38 kDa subunit) (RFC38),RFC3,Homo sapiens (Human),356
RFC5,P40937,reviewed,RFC5_HUMAN,Replication factor C subunit 5 (Activator 1 36 kDa subunit) (A1 36 kDa subunit) (Activator 1 subunit 5) (Replication factor C 36 kDa subunit) (RF-C 36 kDa subunit) (RFC36),RFC5,Homo sapiens (Human),340
RGS18,Q9NS28,reviewed,RGS18_HUMAN,Regulator of G-protein signaling 18 (RGS18),RGS18 RGS13,Homo sapiens (Human),235
RGS3,P49796,reviewed,RGS3_HUMAN,Regulator of G-protein signaling 3 (RGP3) (RGS3),RGS3,Homo sapiens (Human),1198
RGS6,P49758,reviewed,RGS6_HUMAN,Regulator of G-protein signaling 6 (RGS6) (S914),RGS6,Homo sapiens (Human),472
RHOBTB3,O94955,reviewed,RHBT3_HUMAN,Rho-related BTB domain-containing protein 3 (EC 3.6.1.-),RHOBTB3 KIAA0878,Homo sapiens (Human),611
RIC8A,Q9NPQ8,reviewed,RIC8A_HUMAN,Synembryn-A (Protein Ric-8A),RIC8A,Homo sapiens (Human),531
RICTOR,Q6R327,reviewed,RICTR_HUMAN,Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3),RICTOR KIAA1999,Homo sapiens (Human),1708
RIOK3,O14730,reviewed,RIOK3_HUMAN,Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3) (sudD homolog),RIOK3 SUDD,Homo sapiens (Human),519
RNPS1,Q15287,reviewed,RNPS1_HUMAN,RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2),RNPS1 LDC2,Homo sapiens (Human),305
RPL18A,Q02543,reviewed,RL18A_HUMAN,Large ribosomal subunit protein eL20 (60S ribosomal protein L18a),RPL18A,Homo sapiens (Human),176
RPL22,P35268,reviewed,RL22_HUMAN,Large ribosomal subunit protein eL22 (60S ribosomal protein L22) (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15),RPL22,Homo sapiens (Human),128
RPL22L1,Q6P5R6,reviewed,RL22L_HUMAN,Ribosomal protein eL22-like (60S ribosomal protein L22-like 1) (Large ribosomal subunit protein eL22-like 1),RPL22L1,Homo sapiens (Human),122
RPL37A,P61513,reviewed,RL37A_HUMAN,Large ribosomal subunit protein eL43 (60S ribosomal protein L37a),RPL37A,Homo sapiens (Human),92
RPS29,P62273,reviewed,RS29_HUMAN,Small ribosomal subunit protein uS14 (40S ribosomal protein S29),RPS29,Homo sapiens (Human),56
RPS4Y2,Q8TD47,reviewed,RS4Y2_HUMAN,"Small ribosomal subunit protein eS4, Y isoform 2 (40S ribosomal protein S4, Y isoform 2)",RPS4Y2 RPS4Y2P,Homo sapiens (Human),263
RRAGA,Q7L523,reviewed,RRAGA_HUMAN,Ras-related GTP-binding protein A (Rag A) (RagA) (EC 3.6.5.-) (Adenovirus E3 14.7 kDa-interacting protein 1) (FIP-1),RRAGA,Homo sapiens (Human),313
RRAGC,Q9HB90,reviewed,RRAGC_HUMAN,Ras-related GTP-binding protein C (Rag C) (RagC) (EC 3.6.5.-) (GTPase-interacting protein 2) (TIB929),RRAGC,Homo sapiens (Human),399
RRP12,Q5JTH9,reviewed,RRP12_HUMAN,RRP12-like protein,RRP12 KIAA0690,Homo sapiens (Human),1297
RTEL1,Q9NZ71,reviewed,RTEL1_HUMAN,Regulator of telomere elongation helicase 1 (EC 3.6.4.12) (Novel helicase-like),RTEL1 C20orf41 KIAA1088 NHL,Homo sapiens (Human),1219
RTN2,O75298,reviewed,RTN2_HUMAN,Reticulon-2 (Neuroendocrine-specific protein-like 1) (NSP-like protein 1) (Neuroendocrine-specific protein-like I) (NSP-like protein I) (NSPLI),RTN2 NSPL1,Homo sapiens (Human),545
RUFY1,Q96T51,reviewed,RUFY1_HUMAN,RUN and FYVE domain-containing protein 1 (FYVE-finger protein EIP1) (La-binding protein 1) (Rab4-interacting protein) (Zinc finger FYVE domain-containing protein 12),RUFY1 RABIP4 ZFYVE12,Homo sapiens (Human),708
S100A13,Q99584,reviewed,S10AD_HUMAN,Protein S100-A13 (S100 calcium-binding protein A13),S100A13,Homo sapiens (Human),98
S100A7,P31151,reviewed,S10A7_HUMAN,Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7),S100A7 PSOR1 S100A7C,Homo sapiens (Human),101
S100A7A,Q86SG5,reviewed,S1A7A_HUMAN,Protein S100-A7A (S100 calcium-binding protein A15) (S100 calcium-binding protein A7-like 1) (S100 calcium-binding protein A7A),S100A7A S100A15 S100A7L1,Homo sapiens (Human),101
S100PBP,Q96BU1,reviewed,S1PBP_HUMAN,S100P-binding protein (S100P-binding protein Riken),S100PBP S100PBPR,Homo sapiens (Human),408
SACM1L,Q9NTJ5,reviewed,SAC1_HUMAN,Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein),SACM1L KIAA0851 SAC1,Homo sapiens (Human),587
SAE1,Q9UBE0,reviewed,SAE1_HUMAN,"SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A) [Cleaved into: SUMO-activating enzyme subunit 1, N-terminally processed]",SAE1 AOS1 SUA1 UBLE1A,Homo sapiens (Human),346
SAG,P10523,reviewed,ARRS_HUMAN,S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin),SAG,Homo sapiens (Human),405
SAG,Q9UBF6,reviewed,RBX2_HUMAN,RING-box protein 2 (Rbx2) (CKII beta-binding protein 1) (CKBBP1) (RING finger protein 7) (Regulator of cullins 2) (Sensitive to apoptosis gene protein),RNF7 RBX2 ROC2 SAG,Homo sapiens (Human),113
SAP18,O00422,reviewed,SAP18_HUMAN,Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18),SAP18 GIG38,Homo sapiens (Human),153
SBDS,Q9Y3A5,reviewed,SBDS_HUMAN,Ribosome maturation protein SBDS (Shwachman-Bodian-Diamond syndrome protein),SBDS CGI-97,Homo sapiens (Human),250
SCIN,Q9Y6U3,reviewed,SCIN_HUMAN,Scinderin (Adseverin),SCIN KIAA1905,Homo sapiens (Human),715
SCRN2,Q96FV2,reviewed,SCRN2_HUMAN,Secernin-2,SCRN2,Homo sapiens (Human),425
SCYL1,Q96KG9,reviewed,SCYL1_HUMAN,N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase),SCYL1 CVAK90 GKLP NTKL TAPK TEIF TRAP HT019,Homo sapiens (Human),808
SDF2L1,Q9HCN8,reviewed,SDF2L_HUMAN,Stromal cell-derived factor 2-like protein 1 (SDF2-like protein 1) (PWP1-interacting protein 8),SDF2L1 UNQ1941/PRO4424,Homo sapiens (Human),221
SDPR,O95810,reviewed,CAVN2_HUMAN,Caveolae-associated protein 2 (Cavin-2) (PS-p68) (Phosphatidylserine-binding protein) (Serum deprivation-response protein),CAVIN2 SDPR,Homo sapiens (Human),425
SEC11A,P67812,reviewed,SC11A_HUMAN,Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18),SEC11A SEC11L1 SPC18 SPCS4A,Homo sapiens (Human),179
SEC23A,Q15436,reviewed,SC23A_HUMAN,Protein transport protein Sec23A (hSec23A) (SEC23-related protein A),SEC23A,Homo sapiens (Human),765
SEC24B,O95487,reviewed,SC24B_HUMAN,Protein transport protein Sec24B (SEC24-related protein B),SEC24B,Homo sapiens (Human),1268
SEC24D,O94855,reviewed,SC24D_HUMAN,Protein transport protein Sec24D (SEC24-related protein D),SEC24D KIAA0755,Homo sapiens (Human),1032
SEC31A,O94979,reviewed,SC31A_HUMAN,Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein),SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334,Homo sapiens (Human),1220
SELL,P14151,reviewed,LYAM1_HUMAN,L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte surface antigen Leu-8) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (TQ1) (gp90-MEL) (CD antigen CD62L),SELL LNHR LYAM1,Homo sapiens (Human),372
SELPLG,Q14242,reviewed,SELPL_HUMAN,P-selectin glycoprotein ligand 1 (PSGL-1) (Selectin P ligand) (CD antigen CD162),SELPLG,Homo sapiens (Human),412
SERPINB12,Q96P63,reviewed,SPB12_HUMAN,Serpin B12,SERPINB12,Homo sapiens (Human),405
SERPINB5,P36952,reviewed,SPB5_HUMAN,Serpin B5 (Maspin) (Peptidase inhibitor 5) (PI-5),SERPINB5 PI5,Homo sapiens (Human),375
SF3A1,Q15459,reviewed,SF3A1_HUMAN,Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114) (SAP 114),SF3A1 SAP114,Homo sapiens (Human),793
SFT2D2,O95562,reviewed,SFT2B_HUMAN,Vesicle transport protein SFT2B (SFT2 domain-containing protein 2),SFT2D2 UNQ512/PRO1027,Homo sapiens (Human),160
SH3BGRL3,Q9H299,reviewed,SH3L3_HUMAN,SH3 domain-binding glutamic acid-rich-like protein 3 (SH3 domain-binding protein 1) (SH3BP-1) (TNF inhibitory protein B1) (TIP-B1),SH3BGRL3 P1725,Homo sapiens (Human),93
SKAP2,O75563,reviewed,SKAP2_HUMAN,Src kinase-associated phosphoprotein 2 (Pyk2/RAFTK-associated protein) (Retinoic acid-induced protein 70) (SKAP55 homolog) (SKAP-55HOM) (SKAP-HOM) (Src family-associated phosphoprotein 2) (Src kinase-associated phosphoprotein 55-related protein) (Src-associated adapter protein with PH and SH3 domains),SKAP2 PRAP RA70 SAPS SCAP2 SKAP55R,Homo sapiens (Human),359
SKIV2L,Q15477,reviewed,SKI2_HUMAN,Superkiller complex protein 2 (Ski2) (EC 3.6.4.13) (Helicase-like protein) (HLP),SKIC2 DDX13 SKI2W SKIV2 SKIV2L W,Homo sapiens (Human),1246
SKIV2L2,P42285,reviewed,MTREX_HUMAN,Exosome RNA helicase MTR4 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (Superkiller viralicidic activity 2-like 2) (TRAMP-like complex helicase),MTREX DOB1 KIAA0052 MTR4 SKIV2L2,Homo sapiens (Human),1042
SLA2,Q9H6Q3,reviewed,SLAP2_HUMAN,Src-like-adapter 2 (Modulator of antigen receptor signaling) (MARS) (Src-like adapter protein 2) (SLAP-2),SLA2 C20orf156 SLAP2,Homo sapiens (Human),261
SLAMF6,Q96DU3,reviewed,SLAF6_HUMAN,SLAM family member 6 (Activating NK receptor) (NK-T-B-antigen) (NTB-A) (CD antigen CD352),SLAMF6 KALI UNQ6123/PRO20080,Homo sapiens (Human),332
SLC12A9,Q9BXP2,reviewed,S12A9_HUMAN,Solute carrier family 12 member 9 (Cation-chloride cotransporter 6) (hCCC6) (Cation-chloride cotransporter-interacting protein 1) (CCC-interacting protein 1) (hCIP1) (Potassium-chloride transporter 9) (WO3.3),SLC12A9 CCC6 CIP1,Homo sapiens (Human),914
SLC22A16,Q86VW1,reviewed,S22AG_HUMAN,Solute carrier family 22 member 16 (Carnitine transporter 2) (CT2) (Fly-like putative transporter 2) (FLIPT2) (Flipt 2) (Organic cation transporter OKB1) (Organic cation/carnitine transporter 6),SLC22A16 OCT6,Homo sapiens (Human),577
SLC23A1,Q9UGH3,reviewed,S23A2_HUMAN,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Nucleobase transporter-like 1 protein) (Sodium-dependent vitamin C transporter 2) (hSVCT2) (Yolk sac permease-like molecule 2),SLC23A2 KIAA0238 NBTL1 SLC23A1 SVCT2 YSPL2,Homo sapiens (Human),650
SLC23A1,Q9UHI7,reviewed,S23A1_HUMAN,Solute carrier family 23 member 1 (Na(+)/L-ascorbic acid transporter 1) (Sodium-dependent vitamin C transporter 1) (hSVCT1) (Yolk sac permease-like molecule 3),SLC23A1 SVCT1 YSPL3,Homo sapiens (Human),598
SLC23A2,Q9UGH3,reviewed,S23A2_HUMAN,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Nucleobase transporter-like 1 protein) (Sodium-dependent vitamin C transporter 2) (hSVCT2) (Yolk sac permease-like molecule 2),SLC23A2 KIAA0238 NBTL1 SLC23A1 SVCT2 YSPL2,Homo sapiens (Human),650
SLC25A3,Q00325,reviewed,S25A3_HUMAN,"Solute carrier family 25 member 3 (Phosphate carrier protein, mitochondrial) (Phosphate transport protein) (PTP)",SLC25A3 PHC OK/SW-cl.48,Homo sapiens (Human),362
SLC29A2,Q14542,reviewed,S29A2_HUMAN,"Equilibrative nucleoside transporter 2 (hENT2) (36 kDa nucleolar protein HNP36) (Delayed-early response protein 12) (Equilibrative nitrobenzylmercaptopurine riboside-insensitive nucleoside transporter) (Equilibrative NBMPR-insensitive nucleoside transporter) (Hydrophobic nucleolar protein, 36 kDa) (Nucleoside transporter, ei-type) (Solute carrier family 29 member 2)",SLC29A2 DER12 ENT2 HNP36,Homo sapiens (Human),456
