Protein,Protein Description,Protein Gene,AD01_121315_D5_42 Sum Normalized Area,AD02_121676_D8_64 Sum Normalized Area,AD03_131182_E5_19 Sum Normalized Area,AD04_131136_E6_04 Sum Normalized Area,AD05_131127_E7_61 Sum Normalized Area,AD06_131086_D4_29 Sum Normalized Area,AD07_121663_D7_39 Sum Normalized Area,AD08_131027_E2_13 Sum Normalized Area,AD09_131040_E4_54 Sum Normalized Area,AD10_131282_E8_17 Sum Normalized Area,BatchQC_CP01_21 Sum Normalized Area,BatchQC_CP02_63 Sum Normalized Area,BatchQC_CP03_45 Sum Normalized Area,BatchQC_CP04_10 Sum Normalized Area,BatchRef_KP01_56 Sum Normalized Area,BatchRef_KP02_47 Sum Normalized Area,BatchRef_KP03_25 Sum Normalized Area,BatchRef_KP04_07 Sum Normalized Area,HC01_141076_A7_24 Sum Normalized Area,HC02_141337_C3_53 Sum Normalized Area,HC03_121255_D2_08 Sum Normalized Area,HC04_121321_D6_50 Sum Normalized Area,HC05_131028_E3_18 Sum Normalized Area,HC06_141346_A5_11 Sum Normalized Area,HC07_141210_C7_43 Sum Normalized Area,HC08_141198_C8_14 Sum Normalized Area,HC09_111402_D3_41 Sum Normalized Area,HC10_131248_F2_52 Sum Normalized Area,PDD01_141132_A8_46 Sum Normalized Area,PDD02_141202_B3_28 Sum Normalized Area,PDD03_815_F7_03 Sum Normalized Area,PDD04_1089_F8_60 Sum Normalized Area,PDD05_141365_A4_49 Sum Normalized Area,PDD06_131379_B5_59 Sum Normalized Area,PDD07_131387_B6_27 Sum Normalized Area,PDD08_141335_C2_38 Sum Normalized Area,PDD09_121343_C5_06 Sum Normalized Area,PDD10_PST18-0089_F6_20 Sum Normalized Area,PD-noMCI01_141226_B4_48 Sum Normalized Area,PD-noMCI02_141374_B8_40 Sum Normalized Area,PD-noMCI03_131326_C4_15 Sum Normalized Area,PD-noMCI04_141312_C6_55 Sum Normalized Area,PD-noMCI05_141366_F3_57 Sum Normalized Area,PD-noMCI06_131175_A2_12 Sum Normalized Area,PD-noMCI07_131201_A3_22 Sum Normalized Area,PD-noMCI08_141097_A6_26 Sum Normalized Area,PD-noMCI09_141127_B2_62 Sum Normalized Area,PD-noMCI10_131355_B7_05 Sum Normalized Area
sp|P13591|NCAM1_HUMAN,Neural cell adhesion molecule 1 OS=Homo sapiens OX=9606 GN=NCAM1 PE=1 SV=3,NCAM1,9.3785E+8,1.2382E+9,4.5679E+8,9.7865E+8,1.0589E+9,2.9765E+9,1.0095E+9,7.3375E+9,3.1391E+9,2.0645E+9,1.0327E+9,1.1177E+9,1.0070E+9,1.0167E+9,5.2864E+8,5.1883E+8,4.8064E+8,4.2552E+8,9.7661E+8,2.0491E+8,1.6782E+9,2.3953E+9,1.0349E+9,3.9769E+8,2.3686E+8,4.7071E+8,2.5526E+9,1.3507E+9,4.8792E+8,4.2867E+8,2.2593E+8,1.4454E+8,6.3379E+8,4.3085E+8,1.0368E+9,2.3379E+8,5.7407E+8,2.0597E+9,3.2760E+8,5.9007E+8,3.8981E+8,3.7622E+8,5.6694E+8,1.1235E+9,5.5353E+8,1.6968E+8,1.5615E+8,4.0320E+8
sp|P50990|TCPQ_HUMAN,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,CCT8,4.1557E+7,4.7257E+7,4.8586E+7,4.4532E+7,5.3117E+7,5.9988E+7,4.5040E+7,7.4202E+7,4.4883E+7,5.4871E+7,3.5529E+7,4.4572E+7,3.9560E+7,3.4589E+7,4.6705E+7,3.9956E+7,4.7374E+7,4.0350E+7,4.9222E+7,4.7915E+7,4.1462E+7,5.1108E+7,2.9480E+7,5.1557E+7,5.4988E+7,4.7733E+7,5.3148E+7,3.8626E+7,4.4465E+7,4.4607E+7,5.1309E+7,4.7491E+7,4.2051E+7,4.4289E+7,3.0203E+7,4.8966E+7,3.6573E+7,5.8513E+7,4.3703E+7,3.8742E+7,5.0808E+7,4.7283E+7,5.2690E+7,3.6280E+7,4.4965E+7,5.0196E+7,4.7038E+7,3.7839E+7
sp|Q10567|AP1B1_HUMAN,AP-1 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP1B1 PE=1 SV=3,AP1B1,5.3427E+7,5.9260E+7,5.2423E+7,5.0038E+7,5.3581E+7,6.8335E+7,4.6745E+7,1.2313E+8,1.0368E+8,5.8403E+7,5.2670E+7,5.0064E+7,4.9565E+7,5.0252E+7,4.8241E+7,4.7260E+7,4.8074E+7,4.8751E+7,5.2601E+7,4.7430E+7,4.6063E+7,5.0494E+7,5.1326E+7,5.4035E+7,5.1022E+7,4.1963E+7,6.1924E+7,5.3608E+7,4.4608E+7,4.9389E+7,5.5265E+7,4.4284E+7,5.8237E+7,4.9100E+7,4.6402E+7,4.6824E+7,5.1815E+7,7.3318E+7,4.3765E+7,4.1197E+7,5.4956E+7,5.1440E+7,4.2987E+7,5.9970E+7,5.2823E+7,5.0915E+7,5.2144E+7,4.7229E+7
sp|Q14114|LRP8_HUMAN,Low-density lipoprotein receptor-related protein 8 OS=Homo sapiens OX=9606 GN=LRP8 PE=1 SV=4,LRP8,1.2750E+7,1.3200E+7,8.8094E+6,1.0770E+7,1.3384E+7,1.3628E+7,8.7058E+6,2.5231E+7,2.5515E+7,8.2613E+6,1.2551E+7,9.3169E+6,1.0620E+7,1.2384E+7,7.5615E+6,5.2052E+6,6.3599E+6,5.2628E+6,1.9593E+7,2.6085E+6,7.8234E+6,4.8226E+7,1.0641E+7,3.3573E+6,4.9378E+6,3.0148E+6,1.8989E+7,3.0668E+7,7.3239E+6,4.9842E+6,6.1668E+6,3.0779E+6,6.5821E+6,4.0673E+6,7.9585E+6,2.5794E+6,6.1429E+6,1.7861E+7,3.8130E+6,2.0504E+7,5.8497E+6,4.8341E+6,8.1041E+6,1.4139E+7,6.6441E+6,2.1102E+6,3.0047E+6,7.5120E+6
sp|Q6PI48|SYDM_HUMAN,"Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=DARS2 PE=1 SV=1",DARS2,1.3058E+6,1.4902E+6,1.4450E+6,1.6077E+6,1.1236E+6,4.2102E+6,1.1807E+6,1.0552E+6,5.1371E+6,1.8925E+6,1.8817E+6,1.5029E+6,1.3338E+6,1.6837E+6,8.5610E+5,1.3280E+6,1.0940E+6,1.2088E+6,1.2727E+6,9.9186E+5,1.4319E+6,1.7971E+6,1.0185E+6,1.1925E+6,1.2277E+6,7.2404E+5,2.4598E+6,1.9719E+6,9.6508E+5,1.0240E+6,1.1265E+6,1.1565E+6,9.5717E+5,7.5628E+5,1.5457E+6,5.7304E+5,1.3488E+6,6.3901E+5,7.5901E+5,1.3567E+6,8.2368E+5,1.0860E+6,8.5909E+5,1.4928E+6,1.2954E+6,8.1424E+5,9.4969E+5,1.0651E+6
sp|Q8IUK5|PLDX1_HUMAN,Plexin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PLXDC1 PE=1 SV=2,PLXDC1,6.9427E+6,9.3787E+6,3.8994E+6,1.3786E+7,8.6871E+6,3.8707E+7,5.1548E+6,6.9566E+7,2.6470E+7,1.1687E+7,1.2697E+7,1.3292E+7,1.2693E+7,1.4569E+7,6.3839E+6,5.2771E+6,5.1876E+6,5.7469E+6,1.6204E+7,5.0857E+6,1.8819E+7,2.1808E+7,9.4777E+6,4.5849E+6,1.9339E+6,2.8353E+6,2.3078E+7,1.6001E+7,4.2054E+6,4.5342E+6,3.4320E+6,3.3061E+6,6.3597E+6,5.6180E+6,7.3234E+6,2.0603E+6,6.2576E+6,2.1957E+7,2.8666E+6,5.4164E+6,5.0916E+6,4.1833E+6,7.5426E+6,8.6197E+6,5.2456E+6,1.5096E+6,1.8662E+6,3.2072E+6
sp|Q9NZB2|F120A_HUMAN,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2,FAM120A,3.3273E+6,1.9718E+6,6.3964E+5,4.1166E+5,3.4570E+5,3.4015E+5,4.6200E+5,6.7800E+6,6.7472E+5,6.8017E+5,6.8968E+5,4.3881E+5,2.3943E+5,3.8748E+5,7.9315E+5,1.2518E+4,9.4744E+5,1.4407E+6,9.8591E+5,2.8379E+5,2.1314E+6,3.8848E+6,1.3173E+5,4.7178E+5,4.3931E+5,4.7503E+5,4.5497E+5,9.3993E+4,4.0385E+5,1.0380E+6,1.0295E+6,6.8272E+5,8.2053E+5,7.1235E+4,1.6610E+6,4.1953E+5,8.9799E+5,5.3571E+5,2.6407E+5,8.0987E+5,1.1160E+6,1.6874E+6,3.4267E+5,2.9823E+5,1.0626E+6,7.1691E+5,3.3317E+5,6.7166E+5
sp|Q9UJC5|SH3L2_HUMAN,SH3 domain-binding glutamic acid-rich-like protein 2 OS=Homo sapiens OX=9606 GN=SH3BGRL2 PE=1 SV=2,SH3BGRL2,4.9786E+4,1.1759E+5,1.2375E+6,1.1670E+6,7.7078E+5,0.0000E+0,1.2979E+6,1.0348E+6,0.0000E+0,1.9809E+5,2.3155E+5,0.0000E+0,1.4997E+5,2.1070E+4,0.0000E+0,6.0423E+5,1.0162E+6,4.6661E+5,5.6315E+5,1.3982E+6,3.3496E+5,4.2811E+5,7.2644E+5,1.3597E+6,1.3110E+5,1.2721E+6,9.8633E+4,2.1073E+5,1.5690E+6,6.2413E+5,1.0869E+6,2.1829E+6,9.1474E+4,1.3966E+6,9.4145E+4,1.2168E+6,1.1677E+5,3.9064E+4,4.6847E+5,6.2857E+5,5.5144E+5,4.4401E+5,6.9034E+5,7.2328E+4,3.0480E+5,2.0830E+6,2.0694E+6,8.2231E+5
sp|P09622|DLDH_HUMAN,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2",DLD,1.1444E+7,8.1769E+6,1.0374E+7,8.0103E+6,1.5774E+7,7.5949E+6,7.0505E+6,3.6244E+7,9.2294E+6,1.0892E+7,1.0277E+7,1.4617E+7,1.6804E+7,1.4753E+7,1.0096E+7,1.0310E+7,1.0075E+7,1.0029E+7,1.0882E+7,1.2802E+7,8.8571E+6,1.3877E+7,9.0853E+6,1.1957E+7,1.2918E+7,1.3412E+7,7.3577E+6,7.3027E+6,1.4102E+7,1.1197E+7,1.1103E+7,1.5547E+7,1.0832E+7,1.0979E+7,9.4531E+6,1.2748E+7,8.4689E+6,1.1155E+7,1.0705E+7,1.6085E+7,9.7357E+6,1.1759E+7,1.0819E+7,7.5205E+6,1.1297E+7,1.2550E+7,1.1663E+7,1.5489E+7
sp|P23142|FBLN1_HUMAN,Fibulin-1 OS=Homo sapiens OX=9606 GN=FBLN1 PE=1 SV=4,FBLN1,6.0433E+9,4.1303E+9,3.0957E+9,4.4058E+9,6.2932E+9,9.7497E+9,3.1245E+9,3.0928E+10,1.3340E+10,9.3496E+9,3.8968E+9,3.6112E+9,3.4522E+9,2.9968E+9,2.9854E+9,2.6028E+9,2.2727E+9,1.7872E+9,4.9835E+9,1.1021E+9,8.3027E+9,1.1746E+10,6.2280E+9,1.4888E+9,1.2159E+9,1.3129E+9,7.6767E+9,5.0105E+9,3.8698E+9,2.2297E+9,1.6789E+9,9.4223E+8,2.9389E+9,3.1240E+9,4.8199E+9,1.2589E+9,1.8527E+9,1.0077E+10,1.5392E+9,3.3200E+9,1.6574E+9,2.4307E+9,3.4167E+9,3.6005E+9,2.0456E+9,7.5301E+8,9.2482E+8,1.7418E+9
sp|P48723|HSP13_HUMAN,Heat shock 70 kDa protein 13 OS=Homo sapiens OX=9606 GN=HSPA13 PE=1 SV=1,HSPA13,1.8265E+6,6.9264E+5,2.4184E+6,2.9655E+6,4.5492E+6,6.4102E+6,4.0519E+6,8.5751E+6,1.8330E+7,6.0851E+6,1.9616E+6,2.9591E+6,2.6868E+6,1.5969E+6,1.5697E+6,2.5533E+6,1.6887E+6,1.4544E+6,3.9700E+6,1.7141E+6,3.0457E+6,7.9470E+6,5.2972E+6,6.3094E+5,9.2853E+5,1.1698E+6,4.4179E+6,2.9662E+6,1.1954E+6,1.3256E+6,1.5700E+6,1.0185E+6,7.6422E+5,2.5117E+6,3.4265E+6,7.8676E+5,2.7120E+6,3.2754E+6,9.2659E+5,1.9478E+6,8.8987E+5,2.5475E+6,1.3306E+6,1.5396E+6,1.3249E+6,1.1887E+6,2.5059E+6,1.7136E+6
sp|P50552|VASP_HUMAN,Vasodilator-stimulated phosphoprotein OS=Homo sapiens OX=9606 GN=VASP PE=1 SV=3,VASP,4.2466E+7,5.1077E+7,6.0981E+7,4.5770E+7,6.1203E+7,3.7411E+7,5.1631E+7,2.1584E+7,3.9146E+7,4.2088E+7,1.9366E+7,2.3680E+7,2.9055E+7,2.8030E+7,3.6817E+7,4.3299E+7,4.7676E+7,3.9536E+7,3.8104E+7,4.3784E+7,4.0516E+7,3.7749E+7,5.1783E+7,5.5481E+7,3.8134E+7,4.4444E+7,3.6658E+7,3.8827E+7,4.7025E+7,4.1788E+7,7.1145E+7,4.8765E+7,3.4804E+7,4.9944E+7,3.5245E+7,5.6762E+7,4.5945E+7,3.0134E+7,3.7217E+7,3.6916E+7,5.1517E+7,3.8680E+7,4.2508E+7,5.2113E+7,3.8319E+7,4.5800E+7,5.3516E+7,4.0358E+7
sp|P62136|PP1A_HUMAN,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1,PPP1CA,4.8688E+7,4.5149E+7,4.5141E+7,4.3459E+7,5.0472E+7,4.7196E+7,4.4142E+7,4.7606E+7,5.6210E+7,4.0089E+7,3.5592E+7,4.1531E+7,3.8023E+7,4.5150E+7,4.2037E+7,4.0997E+7,4.1876E+7,3.4996E+7,4.4536E+7,4.5885E+7,3.8095E+7,4.9983E+7,3.9054E+7,4.5432E+7,4.2643E+7,3.6905E+7,3.7928E+7,3.9009E+7,3.8902E+7,4.8174E+7,4.4605E+7,4.3420E+7,3.8554E+7,3.8850E+7,3.7347E+7,4.4498E+7,3.7723E+7,4.6233E+7,4.0389E+7,3.9284E+7,4.0916E+7,4.7534E+7,4.4858E+7,3.8529E+7,4.3283E+7,4.4137E+7,4.6490E+7,3.5633E+7
sp|Q01433|AMPD2_HUMAN,AMP deaminase 2 OS=Homo sapiens OX=9606 GN=AMPD2 PE=1 SV=2,AMPD2,6.9741E+7,6.1715E+7,6.4354E+7,6.1192E+7,6.7353E+7,7.9904E+7,7.0070E+7,1.7458E+8,1.1119E+8,6.9672E+7,8.3132E+7,8.6711E+7,7.5467E+7,8.0252E+7,6.4732E+7,6.2434E+7,5.9265E+7,6.0600E+7,6.4836E+7,5.9595E+7,7.0451E+7,9.1875E+7,6.1832E+7,8.1167E+7,6.0325E+7,5.5570E+7,8.1795E+7,6.4979E+7,4.8230E+7,5.8609E+7,6.7172E+7,5.3208E+7,6.6552E+7,6.1282E+7,6.0017E+7,6.4316E+7,6.0444E+7,8.1916E+7,6.3003E+7,7.0754E+7,6.0650E+7,6.4921E+7,7.3005E+7,7.0898E+7,6.4806E+7,6.1942E+7,5.6516E+7,6.1094E+7
sp|Q08174|PCDH1_HUMAN,Protocadherin-1 OS=Homo sapiens OX=9606 GN=PCDH1 PE=1 SV=2,PCDH1,2.9582E+7,3.3820E+7,1.8403E+7,4.3107E+7,6.9241E+7,1.0584E+8,2.0789E+7,3.8579E+8,1.5198E+8,7.2545E+7,4.6982E+7,6.0233E+7,4.5504E+7,3.9115E+7,2.8209E+7,2.2038E+7,2.1188E+7,1.3969E+7,3.6906E+7,1.2141E+7,5.2179E+7,1.1990E+8,3.7473E+7,1.2554E+7,1.4276E+7,2.0666E+7,5.4254E+7,7.2028E+7,3.4293E+7,1.5642E+7,1.0676E+7,1.2660E+7,2.6205E+7,2.6669E+7,5.3743E+7,1.1037E+7,3.7926E+7,1.1282E+8,1.5174E+7,2.5942E+7,1.8720E+7,2.0628E+7,2.4582E+7,3.0229E+7,2.9762E+7,1.0213E+7,1.1540E+7,1.2997E+7
sp|Q86WI1|PKHL1_HUMAN,Fibrocystin-L OS=Homo sapiens OX=9606 GN=PKHD1L1 PE=2 SV=2,PKHD1L1,3.5564E+7,2.7201E+7,6.7857E+6,4.0109E+7,4.5497E+7,4.6485E+7,3.0619E+7,3.0285E+8,2.4145E+8,3.6357E+7,5.3128E+7,5.4556E+7,4.2673E+7,2.7054E+7,2.3241E+7,1.3912E+7,1.3573E+7,1.9169E+7,3.0420E+7,2.1661E+7,5.5300E+7,6.6831E+7,2.4161E+7,1.1443E+7,1.6745E+7,1.1949E+7,1.8551E+7,7.6027E+7,1.9024E+7,1.3469E+7,7.4957E+6,1.2826E+7,2.9136E+7,1.8588E+7,3.7466E+7,8.4214E+6,2.5279E+7,8.4365E+7,2.7235E+7,1.9438E+7,1.9995E+7,2.5418E+7,1.8677E+7,3.5054E+7,2.4485E+7,1.1767E+7,1.5408E+7,2.5131E+7
sp|Q96JH7|VCIP1_HUMAN,Deubiquitinating protein VCPIP1 OS=Homo sapiens OX=9606 GN=VCPIP1 PE=1 SV=2,VCPIP1,3.1202E+6,3.6898E+6,7.8271E+5,1.4331E+6,3.6466E+6,2.9046E+6,1.6260E+6,7.8315E+6,7.5203E+6,2.5249E+6,1.6809E+6,4.9342E+6,2.6160E+6,1.8771E+6,2.0814E+6,1.7495E+6,9.0954E+5,9.4072E+5,2.2102E+6,9.1370E+5,3.1581E+5,3.7793E+6,7.0860E+5,1.0777E+6,1.1256E+6,1.3885E+6,5.7408E+6,1.9269E+6,1.5251E+6,1.4659E+6,1.0781E+6,9.9344E+5,2.4312E+6,1.9948E+6,8.4300E+5,7.9939E+5,9.9717E+5,3.7212E+6,1.4083E+6,1.6323E+6,1.0363E+6,1.5615E+6,1.9631E+6,1.7115E+6,1.0150E+6,6.5514E+5,9.4305E+5,9.3556E+5
sp|Q9BUF5|TBB6_HUMAN,Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,TUBB6,2.6550E+9,2.0446E+9,1.9905E+9,2.2960E+9,2.2138E+9,2.3090E+9,2.1583E+9,1.9529E+9,2.3471E+9,2.3432E+9,2.5354E+9,2.5437E+9,2.4962E+9,2.4572E+9,1.9587E+9,2.0254E+9,1.9481E+9,2.1118E+9,2.1004E+9,2.0383E+9,2.1246E+9,2.3826E+9,2.1908E+9,2.3129E+9,2.0486E+9,2.0379E+9,2.0720E+9,1.8093E+9,1.8770E+9,2.0192E+9,2.3729E+9,1.8019E+9,2.5119E+9,1.7839E+9,2.3421E+9,1.9920E+9,2.1188E+9,2.3639E+9,2.3265E+9,1.9049E+9,1.7896E+9,2.2048E+9,2.2089E+9,2.0816E+9,2.0918E+9,2.0452E+9,2.2648E+9,2.3776E+9
sp|Q9BXS4|TMM59_HUMAN,Transmembrane protein 59 OS=Homo sapiens OX=9606 GN=TMEM59 PE=1 SV=1,TMEM59,1.6288E+6,1.7546E+6,4.1403E+5,4.4696E+5,1.3548E+6,2.5711E+6,4.5557E+5,8.2325E+6,3.5570E+6,1.1005E+6,1.3999E+6,1.3306E+6,1.6490E+6,9.9300E+5,6.1711E+5,3.4146E+5,3.6324E+5,3.9242E+5,8.0001E+5,2.1299E+5,1.2985E+6,1.9055E+6,7.4949E+5,2.8096E+5,2.5392E+5,4.6541E+5,1.3842E+6,7.5729E+5,2.8931E+5,5.6786E+5,1.4498E+5,5.9784E+4,7.8444E+5,4.3540E+5,1.2182E+6,1.9434E+5,4.6636E+5,2.0655E+6,3.0439E+5,5.1981E+5,4.6571E+5,3.3186E+5,6.4675E+5,8.7348E+5,7.3960E+5,1.2020E+5,1.0938E+5,2.0127E+5
sp|Q9BZ29|DOCK9_HUMAN,Dedicator of cytokinesis protein 9 OS=Homo sapiens OX=9606 GN=DOCK9 PE=1 SV=2,DOCK9,2.3215E+6,1.1778E+7,3.8750E+6,1.2582E+9,1.0567E+7,7.5119E+6,4.7530E+6,9.7018E+6,1.4917E+7,7.3581E+6,7.2820E+6,8.1171E+6,7.9119E+6,6.0516E+6,1.8286E+7,1.8039E+7,1.6293E+7,1.7899E+7,2.7076E+6,1.4833E+6,3.6650E+6,6.2591E+6,3.4728E+6,1.7094E+6,9.1633E+5,3.6597E+6,7.9222E+6,2.3830E+6,2.8153E+6,2.2249E+6,2.0998E+6,1.1098E+6,1.8625E+6,4.0347E+6,7.1752E+6,2.2546E+6,4.9615E+6,9.4211E+6,1.7205E+6,3.3533E+6,5.4961E+5,4.1320E+6,2.1117E+6,1.3140E+6,3.6785E+6,1.6585E+6,1.5224E+6,3.2539E+6
sp|Q9HB71|CYBP_HUMAN,Calcyclin-binding protein OS=Homo sapiens OX=9606 GN=CACYBP PE=1 SV=2,CACYBP,1.4413E+6,1.2146E+6,1.5634E+6,2.1117E+6,1.6139E+6,1.9367E+6,1.8387E+6,2.1268E+6,2.9797E+6,1.7367E+6,1.6282E+6,1.3741E+6,1.0885E+6,1.3124E+6,1.4859E+6,1.5781E+6,1.7560E+6,1.7083E+6,1.2692E+6,1.8006E+6,1.2851E+6,1.2100E+6,1.3787E+6,1.4903E+6,1.9428E+6,2.0576E+6,1.2155E+6,1.7198E+6,1.5665E+6,1.6242E+6,1.9884E+6,1.6115E+6,1.4825E+6,1.6381E+6,8.7855E+5,1.6426E+6,2.1702E+6,1.7007E+6,1.2454E+6,1.4765E+6,1.9248E+6,1.2738E+6,1.6497E+6,1.5687E+6,1.4680E+6,1.9418E+6,1.6286E+6,1.3544E+6
sp|Q9UJ14|GGT7_HUMAN,Glutathione hydrolase 7 OS=Homo sapiens OX=9606 GN=GGT7 PE=1 SV=2,GGT7,1.1753E+5,4.4369E+5,3.3510E+5,5.7520E+5,4.2312E+5,1.1436E+6,2.0550E+5,2.0565E+6,1.7286E+6,1.0340E+6,7.1977E+5,5.7436E+5,4.1203E+5,6.4985E+5,1.8153E+5,1.5811E+5,2.0063E+5,2.6250E+5,6.0547E+5,7.5130E+4,8.5484E+5,8.8456E+5,6.2873E+5,2.2193E+5,1.5623E+5,1.1212E+5,1.2758E+6,2.7857E+5,1.8744E+5,1.8685E+5,1.2587E+5,7.5924E+4,1.6084E+5,1.9128E+5,3.0816E+5,7.6402E+4,3.0910E+5,1.0885E+6,2.8090E+5,2.6996E+5,3.1316E+5,1.6418E+5,1.6505E+5,3.7890E+5,2.2641E+5,7.4287E+4,4.5835E+4,2.0397E+5
sp|O60888|CUTA_HUMAN,Protein CutA OS=Homo sapiens OX=9606 GN=CUTA PE=1 SV=2,CUTA,4.2664E+6,5.3959E+6,3.0260E+6,4.2208E+6,4.6955E+6,8.3292E+6,3.0366E+6,1.5177E+7,1.2213E+7,6.1715E+6,5.9436E+6,4.0478E+6,4.5684E+6,4.1336E+6,3.0703E+6,2.5251E+6,2.4899E+6,2.3075E+6,5.8122E+6,2.0568E+6,3.4333E+6,5.4082E+6,3.6194E+6,1.5072E+6,1.6265E+6,2.1502E+6,5.1097E+6,5.4586E+6,1.9730E+6,3.3476E+6,2.3580E+6,2.4509E+6,2.1542E+6,2.6970E+6,3.2566E+6,1.8283E+6,3.2125E+6,6.9713E+6,1.7652E+6,3.4939E+6,2.7028E+6,2.4779E+6,2.2037E+6,3.5011E+6,2.4575E+6,1.5761E+6,1.7504E+6,2.1117E+6
sp|O75380|NDUS6_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS6 PE=1 SV=1",NDUFS6,6.6690E+5,1.0686E+5,4.9819E+5,7.5796E+5,5.3097E+5,8.0541E+5,9.5974E+5,8.3339E+7,1.2285E+6,5.4185E+5,1.0418E+6,8.7881E+5,4.7102E+5,1.0459E+6,4.8518E+5,9.9720E+5,5.7657E+5,3.6937E+5,1.0298E+6,1.0069E+6,4.5447E+5,3.9704E+5,4.3919E+5,3.4551E+5,9.3991E+5,5.1213E+5,5.7318E+5,1.1828E+6,5.7189E+5,4.9024E+5,5.3282E+5,9.0580E+5,3.4473E+5,3.2807E+5,7.5572E+5,7.3263E+5,4.0451E+5,1.1373E+6,7.6241E+5,6.0521E+5,1.9901E+5,4.7224E+5,6.8309E+5,4.7857E+5,4.3776E+5,9.0369E+5,5.7786E+5,3.4719E+5
sp|P27338|AOFB_HUMAN,Amine oxidase [flavin-containing] B OS=Homo sapiens OX=9606 GN=MAOB PE=1 SV=3,MAOB,2.9892E+7,2.7429E+7,3.7196E+7,2.4591E+7,2.2277E+7,3.9724E+7,2.7432E+7,1.9058E+7,1.9437E+7,2.3916E+7,2.7338E+7,2.9598E+7,3.1748E+7,3.3465E+7,2.9537E+7,3.1068E+7,2.9117E+7,3.4040E+7,4.2803E+7,2.6964E+7,2.9310E+7,2.0494E+7,4.0879E+7,3.0017E+7,3.2628E+7,3.0096E+7,1.0450E+7,1.7536E+7,4.8065E+7,3.0870E+7,2.2250E+7,4.7500E+7,7.1293E+7,2.9274E+7,2.7816E+7,2.6423E+7,2.1362E+7,1.3056E+7,3.3375E+7,3.9307E+7,4.3809E+7,3.2643E+7,2.9746E+7,2.0974E+7,2.8036E+7,3.2898E+7,2.9619E+7,4.6334E+7
sp|P35916|VGFR3_HUMAN,Vascular endothelial growth factor receptor 3 OS=Homo sapiens OX=9606 GN=FLT4 PE=1 SV=3,FLT4,1.9257E+8,2.1060E+8,1.1571E+8,2.3113E+8,2.1209E+8,5.4215E+8,1.5760E+8,1.3874E+9,5.7360E+8,2.7555E+8,2.1242E+8,2.1695E+8,2.1132E+8,1.7917E+8,1.0543E+8,9.5125E+7,8.9818E+7,7.9040E+7,2.0231E+8,6.5650E+7,1.3550E+8,3.3893E+8,2.4010E+8,4.2495E+7,4.2612E+7,1.1414E+8,5.1609E+8,3.3651E+8,6.4865E+7,7.9755E+7,5.5608E+7,3.5271E+7,1.1972E+8,7.8952E+7,1.3806E+8,2.3414E+7,1.4544E+8,3.4328E+8,6.7453E+7,5.6483E+7,8.0226E+7,8.7284E+7,1.1769E+8,2.0662E+8,1.1999E+8,1.4350E+7,5.8012E+7,7.8752E+7
sp|P56556|NDUA6_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=1 SV=4,NDUFA6,1.2083E+6,9.9414E+5,1.8689E+6,1.8247E+6,1.1320E+6,1.6033E+5,1.6885E+6,1.0281E+5,8.7551E+5,1.1998E+6,1.6388E+6,1.1892E+6,1.5143E+6,2.2447E+6,1.4537E+6,1.4910E+6,1.8178E+6,1.5951E+6,1.8091E+6,1.9986E+6,1.3781E+6,1.2125E+6,1.4212E+6,2.2118E+6,2.4170E+6,1.1475E+6,6.4144E+5,8.0271E+5,1.1716E+6,1.5494E+6,2.0452E+6,1.6231E+6,1.6376E+6,1.5676E+6,1.2829E+6,1.7296E+6,1.6090E+6,5.7526E+5,1.5976E+6,1.6673E+6,1.1420E+6,1.5810E+6,1.2394E+6,1.5629E+6,1.4840E+6,1.7020E+6,1.6981E+6,2.4609E+6
